Company_name,Website,Categories,Email,description,Country,Region,City,Stand_name,Stand_location,Product
3 Frutti S.R.L.,,,grazia@3frutti.it,,ITA,,35127-Concordia Sagitaria,3C13,,
3A BIOTECH,https://tres-a.net,"Innova&Tech, Biotech Attraction ",comercial@tres-a.net,,ESP,Murcia,Las Torres de Cotillas,1B03A,P01,
3MORETTI - BONOMO SpA,,"Fresh Produce, Fresh fruits",info@3moretti.it,,ITA,,95038 Santa Maria di Licodia,3A03D,P03,
A.G. VILLODRE S.L.,https://www.antogar.com,,info@antogar.com,,ESP,Albacete,La Roda,5B11,P05,
AB AZUCARERA IBERIA,https://www.betalia.es,"Auxiliary Industry, Fertilisers, agro nutrients and plant protection",elena.sanz@azucarera.es,,ESP,Madrid,Madrid,9G28,P09,
ABC FRESH GMBH,,"Fresh Produce, Fresh fruits",gea@abcfresh.de,,DEU,,Hamburg,4E15,P04,
ABD ELWAHAB SONS,,"Fresh Produce, Fresh fruits, Fresh vegetables",abdelwahab.fruit@yahoo.com,,EGY,,34242-Cairo,4B33,P04,
ABSOGER,https://www.absoger-atmosphere-controlee-azote.com,"Auxiliary Industry, Postharvest",myriam@absoger.fr,,FRA,,82100   Les Barthes,10E22A,P10,
AC EPISKOPIS,,,info@asepiskopis.gr,,GRC,,59200-ΝΑΟΥΣΑ,10C09,,
ACEC,https://www.acec.info,"Fresh Produce, Fresh vegetables",acec@acec.info,,ESP,Valencia,Valencia,3D17E,P03,
ACEFER,https://www.acefer.com,,acefer@acefer.com,,ESP,Madrid,POZUELO DE ALARCON,10A35,P10,
ACORBANEC,,"Fresh Produce, Fresh fruits",rsalazar@acorbanec.com,,ECU,,090512-Guayaquil,4D08,P04,
ACOSTA & AGUAYO,,"Fresh Food Logisitcs, Services & logistics operators",cbenavides@acostayaguayo.cl,,CHL,,Santiago de Chile,4B14,P04,
ACTITURE,https://actiture.bio/,"Ecorganic Market, Fresh Produce",marketing@actiture.bio,"En Actiture somos productores y exportadores de una amplia variedad de hortalizas ecológicas, especializados en el cultivo eco de coliflor y brócoli, lo que nos permite mantener un amplio calendario de producción.
Nos adaptamos a los tiempos y exigencias de los consumidores y tenemos una gran capacidad de respuesta y de reacción a los pedidos de los clientes gracias a unas inversiones continuas en innovación y desarrollo y en las mejores técnicas de producción.
Para garantizar el servicio y una excelente calidad de nuestros productos, desde 2006 adquirimos la mejor finca del Valle del Ebro, donde contamos con 400 Has. de tierra fértil dotada de agua para la producción óptima.
Si algo nos caracteriza es que todos nuestros productos son ecológicos y que trabajamos preservando la flora y fauna del entorno gracias al uso de técnicas agrícolas sostenibles y a un consumo responsable que nos permite ofrecer a nuestros clientes el sabor real de las hortalizas.",ESP,Navarra,Tudela,8C03,P08,
ACUDAM,https://www.acudam.com,"Auxiliary Industry, Packaging and labelling",acudam@acudam.com,,ESP,Lérida,Mollerussa,3B21,P03,
ADESUR,https://www.adesur.com,"Fresh Produce, Fresh fruits",josemanuelgarcia@adesur.com,,ESP,Murcia,Águilas,7D05,P07,
ADFRUIT DI CORDIOLI ADELINO,,"Fresh Produce, Fresh fruits",mobil@adfruit.it,,ITA,,Castagnaro,10B06,P10,
ADRIATICA S.P.A.,https://www.k-adriatica.it,"Auxiliary Industry, Fertilisers, agro nutrients and plant protection",sabrina.rondina@gmail.com,,ITA,,45017 Loreo,10F21A,P10,
"AEBE, ASOCIACION DE EXPORTADORES DE BANANO DEL ECUADOR",www.aebe.com.ec,"Fresh Produce, Fresh fruits",ftobar@aebe.com.ec,,ECU,,GUAYAQUIL,4C06,P04,
AENVERDE. LA REVISTA DEL AGRICULTOR,,Media,,,ESP,Almería,Almería,3E04B,N03S,
AEP,,,santiaepsa@gmail.com,,ESP,Valencia,SILLA,3E09A,,
AEROBOTICS,https://www.aerobotics.com,"Innova&Tech, Smart Agro",bernardo@aerobotics.com,,ZAF,,Cape Town,1D05,P01,
AFRI-FOODS,,,sakina.u@afrifoodsltd.com,,RWA,,P.O. BOX: 6884 Kigali-Kigali,4E25,,
AFRUCAT,https://www.afrucat.com,"Fresh Produce, Fresh fruits",marqueting@afrucat.com,,ESP,Lérida,Lleida,6D06,P06,
AGAPA,www.agapa.junta-andalucia.es/agenciaagrariaypesquera/portal/web/principal,"Fresh Produce, Organisms and associations",francisca.guerrero.c@juntadeandalucia.es,,ESP,Sevilla,Sevilla,9E19,P09,
AGBAR,,"Auxiliary Industry, Services",marta.perez@veolia.com,,ESP,Córdoba,Cordoba,5D14,P05,
AGERPIX,https://www.agerpix.com,"Innova&Tech, Smart Agro",david.frances@agerpix.com,,ESP,Soria,Golmayo,1E03,P01,
AG-GROUP,,,p.galindo@ag-group.es,,ESP,Huesca,TAMARITE DE LITERA,1E05,,
AGQ LABS,https://www.agqlabs.es,"Auxiliary Industry, Services",atamargo@agqlabs.com,,ESP,Sevilla,Burguillos,9G24,P09,
AGR INTEGRAL ENGINEERING SOLUTIONS,https://grupoagringenieria.com/,"Auxiliary Industry, Services",emilia@grupoagringenieria.com,"20 AÑOS TRABAJANDO PARA MÁS DE 1.000 CLIENTESAGR Integral Engineering Solutions es una empresa de ingeniería multidisciplinar con más de 20 años de experiencia y con gran bagaje en la redacción de proyectos industriales. La principal actividad de la empresa es el desarrollo íntegro de proyectos de ingeniería para grandes industrias: concepción y diseño, proyectos de construcción, cálculo de las instalaciones que albergan los edificios industriales y su legalizaciónUna de las estrategias de negocio para AGR Integral Engineering Solutions, es llegar a ser habilitador tecnologías y referente I+D adaptando su actividad a las tecnologías emergentes y apostando por soluciones que hagan diferenciarse de sus competidores                                    SERVICIOS:
- Arquitectura y urbanismo- Arquitectos y aparejadores especializados en el diseño de todo tipo de edificaciones.
- Dirección facultativa de obras
- Proyectos de Ingeniería- Project ManagementPersonal multidisciplinar capaz de desarrollar con solvencia cualquier tipo de proyecto. - Gestión de subvencionesTrabajamos para lograr la concesión y el cobro de subvenciones a las que puedan optar nuestros clientes - Medio ambienteNuestro área de Medio Ambiente apuesta por la sostenibilidad ambiental en sus proyectos - Consultoría y mejora de procesos de ingenieríaDiseñar, gestionar y organizar procesos de forma eficaz y eficiente. Analizar y mejorar los procesos clave de la empresa.
- Libro del edificio 4.0Desde AGR Integral Engineering Solutions desarrollamos una solución BIM que ofrece a los usuarios la posibilidad de acceder de forma instantánea a todos los activos del edificio y obtener documentación para la gestión… - Implantación de normativas de calidad alimentariaISO 9000,ISO 9001,ISO 14001,ISO 22000,BRC,IFS,GLOBALGAPProyectos de cualquier envergadura
- Proyectos para empresas privadas y administraciones públicasAlmazaras, mataderos, centrales hortofrutícolas, centros logísticos, industria del congelado, gran cantidad de naves tanto en el medio rural como en polígonos industriales y proyectos de arquitectura.Estos servicios han sido prestados a empresas privadas y a administraciones públicas (ayuntamientos, diputaciones, etc.)",ESP,Valencia,Paterna,3D27A,P03,
AGRAGEX,https://www.agragex.es,"Auxiliary Industry, Organizations and Associations",ana@agragex.es,"Asociación Española de Fabricantes Exportadores de Maquinaria Agricola cuyo objetivo principal es la promoción del sector agricola y ganadero español en los mercados exteriores. 
Con el fin de cumplir su objetivo AGRAGEX organiza Misiones Comerciales Directas e Inversas,  Ferias en los cinco continentes tanto participaciones agrupadas como servicios personalizados,  canaliza consultas y realiza estudios estadisticos de los distintos subsectores que componen la Asociación. 
Ademas dispone de un catalogo donde recoge el perfil de cada una de sus empresas asociadas y que distribuye en todos sus viajes por el mundo y una pagina web referente para cualquier consulta proveniente de cualquier parte del mundo. 
AGRAGEX colabora con distintas administraciones en la divulgación y assesoramiento de los temas relacionado con la internacionalización del sector agropecuario español. 
Los sectores que componen AGRAGEX son;  maquinaria agricola (equipos para la preparación del suelo,  abonado,  pulverización,  siembra,  recolección,  maquinaria para arboles frutales,  olivos y viñas),  componentes (arados,  gradas,  cultivadores,  chisels,  etc), riego (equipos para riego por aspersión,  goteo,  pivots,  etc),  invernaderos,  salud y nutrición vegetal,  post-cosecha,  manutención y almacenaje,  equipamiento ganadero,  salud y nutrición animal y energias renovables.
 
 ",ESP,Vizcaya,Leioa,7D24,P07,
AGRALIA GROUP,,"Auxiliary Industry, Preharvest",rafael@agraliagroup.com,,CHL,,.-Region del Maule.,8A24A,P08,
AGRI CUADRAS S.L.U.,https://cuadraspania.com/,"Fresh Produce, Fresh vegetables",geraldine.cuadras@gmail.com,,ESP,Almería,Cuevas del Almanzora,9B09,P09,
AGRIBUR S.L.,https://www.agribur.es,"Fresh Produce, Fresh fruits",comercial@agribur.es,,ESP,Castellón,Vall D'Uxó,3E07A,P03,
AGRICHEAP SLU,https://www.agricheap.com/,"Innova&Tech, Smart Agro",angeles@agricheap.com,,ESP,Valencia,Puzol,1C02A,P01,
"AGRICO ESPAÑA OF POTATOES, SLU",,"Fresh Produce, Fresh vegetables",j.santamaria@agricopotatoes.es,,ESP,Sevilla,Sevilla,9E14,P09,
AgriCoat NatureSeal Ltd.,https://www.agricoat.co.uk/,,elena.matthews@agricoat.co.uk,"AgriCoat NatureSeal - leading company for extending shelf life of fresh produce. Our NatureSeal products are proprietary blends of vitamins & minerals maintaining colour, texture & taste. NatureSeal FS organic wash for decontaminating your produce before processing.  Semperfresh delays ripening & extends shelf life of whole fresh produce.
AgriCoat NatureSeal: empresa líder en extender la vida útil de los productos frescos. Nuestros productos NatureSeal provienen de unas mezclas patentadas de vitaminas y minerales que mantienen el color, la textura y el sabor. El limpiador biológico NatureSeal FS sirve para descontaminar sus productos antes de realizar el tratamiento. Semperfresh retrasa la maduración y extiende la vida útil de los productos frescos enteros.",GBR,Berkshire ,Hungerford,8B17,,
AGRICOLA 2000,https://www.agricola2000.com/,"Innova&Tech, Biotech Attraction ",g.scatolino@agricola2000.com,,ITA,Milano,Tribiano,1A01A,P01,
AGRICOLA DON CAMILLO,https://www.agricoladoncamillo.it/,"Fresh Produce, Fresh fruits",info@agricoladoncamillo.it,"Quality is fundamental to us. We believe in respecting nature, and we cultivate the land to grow the finest fruits for your table - the healthiest, most nutritious, and tastiest produce.
Our organization is made of more than 60 agricultural companies with shared passion and objectives, committed to maintaining a high-quality standard in accordance with pre-established criteria and through a collective spirit of cooperation and technical expertise.
Our products, grown across more than 2,000 hectares of fertile land, are distinguished by their quality and freshness. Daily focus on cultivation, processing, and distribution, along with care for the soil and respect for the ripening schedules, ensure outstanding characteristicsfor our produce.",ITA,"Reggio Emilia, Emilia Romagna",Brescello ,10G04,,
